ID,Status,base_setup,base_question,flip_question,flip_change,pic_base,pic_flip,indoor_outdoor,id,gemini3_I0q0_json,gemini3_I0q1_json,gemini3_I1q0_json,gemini3_I1q1_json
AV-01,Done,Street view with distant building numbers,Is a building number clearly readable in this photo?,"Is the building number unreadable in this photo (too small, blurred, or too far)?",Move closer to a building entrance so the number is clearly visible,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0618.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0619.jpeg,outdoor,AV-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1}"
AV-02,Done,"View of dollar bill, cannot see serial clearly.",Is the serial number on the bill clearly readable in this photo?,"Is the serial number unreadable in this photo (too small, blurred, or unclear)?",macro close up,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0293.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0294.jpeg,indoor,AV-02,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
AV-03,Done,"Food container, micro-text too small.",Is the ingredients fine print clearly readable in this photo?,Is the ingredients fine print unreadable in this photo (too small or blurred)?,move the camera closer until the text is large enough,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0682.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0683.jpeg,indoor,AV-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
AV-04,Done,Laptop with text on screen.,Is the small text on the laptop screen clearly readable in this photo?,Is the laptop screen text unreadable in this photo (too small or unclear)?,move closer to see the text,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1111.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1112.jpeg,indoor,AV-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1}"
AV-05,Done,Medicine bottle far away; text blurry,Is the medicine bottle ingredient list clearly readable in this photo?,Is the medicine bottle ingredient list unreadable in this photo (too small or blurry)?,use a magnifying glass or phone zoom held near the label so the ingredient list is sharp and readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0933.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0934.jpeg,indoor,AV-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
AV-06,Done,Yogurt container on table; expiration date too small to read,Is the yoghurt expiration date clearly readable in this photo?,Is the yoghurt expiration date unreadable in this photo (too small or blurry)?,pick up the container and use a close up shot so the expiration date fills the frame and the numbers are sharp and readable,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1103.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_1104.jpeg,indoor,AV-06,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
AV-07,Done,Lotion bottle far away; tiny text.,Is the lotion bottle fine print clearly readable in this photo?,Is the lotion bottle fine print unreadable in this photo (too small or unclear)?,bring the camera close or zoom in so the micro-text becomes legible,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0684.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0685.jpeg,indoor,AV-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":1}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
GD-01,Done,Couple sitting next to each other.,Are the two people clearly looking at each other (mutual gaze)?,Are the two people clearly not looking at each other?,couple look at each other,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0394.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0399.jpeg,outdoor,GD-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-02,Done,Man turned away from cello.,Is he clearly looking at the cello (eyes directed at it)?,Is he clearly looking away from the cello?,turn his head and eyes down toward the cello while he plays it,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0410.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0411.jpeg,outdoor,GD-02,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":1.0}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":1.0}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}","{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}"
GD-03,Done,"Friends walking, heads not facing camera.",Are they clearly looking towards the camera (posing for a photo)?,Are they clearly not looking towards the camera?,"have them stop and pose, all turning their heads and eyes toward the camera as if taking a picture",/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8024.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8023.jpeg,outdoor,GD-03,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":1}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
