ID,Status,base_setup,base_question,flip_question,flip_change,pic_base,pic_flip,indoor_outdoor,id,internvl3-8b_I0q0_json,internvl3-8b_I0q1_json,internvl3-8b_I1q0_json,internvl3-8b_I1q1_json
AV-01,Done,"Far facade, unaided view.",Is the building number clearly readable in this photo?,"Is the building number unreadable in this photo (too small, blurred, or too far)?",zoom in,./Images/IMG_0296.jpeg,./Images/IMG_0297.jpeg,outdoor,AV-01,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
AV-02,Done,"View of dollar bill, cannot see serial clearly.",Is the serial number on the bill clearly readable in this photo?,"Is the serial number unreadable in this photo (too small, blurred, or unclear)?",macro close up,./Images/IMG_0293.jpeg,./Images/IMG_0294.jpeg,indoor,AV-02,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}"
AV-03,Done,"Food container, micro-text too small.",Is the ingredients fine print clearly readable in this photo?,Is the ingredients fine print unreadable in this photo (too small or blurred)?,move the camera closer until the text is large enough,./Images/IMG_0682.jpeg,./Images/IMG_0683.jpeg,indoor,AV-03,"{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
AV-04,Done,Laptop with text on screen.,Is the small text on the laptop screen clearly readable in this photo?,Is the laptop screen text unreadable in this photo (too small or unclear)?,move closer to see the text,./Images/IMG_1111.jpeg,./Images/IMG_1112.jpeg,indoor,AV-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
AV-05,Done,Pill bottle far away; text blurry.,Is the pill bottle ingredient list clearly readable in this photo?,Is the pill bottle ingredient list unreadable in this photo (too small or blurry)?,use a magnifying glass or phone zoom held near the label so the ingredient list is sharp and readable,./Images/IMG_0933.jpeg,./Images/IMG_0934.jpeg,indoor,AV-05,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
AV-06,Done,Yoghurt on table,Is the yoghurt expiration date clearly readable in this photo?,Is the yoghurt expiration date unreadable in this photo (too small or blurry)?,pick up the container and use a close up shot so the expiration date fills the frame and the numbers are sharp and readable,./Images/IMG_1103.jpeg,./Images/IMG_1104.jpeg,indoor,AV-06,"{""label"":""ABSTAIN"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
AV-07,Done,Lotion bottle far away; tiny text.,Is the lotion bottle fine print clearly readable in this photo?,Is the lotion bottle fine print unreadable in this photo (too small or unclear)?,bring the camera close or zoom in so the micro-text becomes legible,./Images/IMG_0684.jpeg,./Images/IMG_0685.jpeg,indoor,AV-07,"{""label"":""NOT_VISIBLE"",""reason_code"":""INHERENTLY_NONVISUAL"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-01,Done,Couple sitting next to each other.,Are the two people on the bench clearly looking at each other (mutual gaze)?,Are the two people on the bench clearly not looking at each other?,couple look at each other,./Images/IMG_0394.jpeg,./Images/IMG_0399.jpeg,outdoor,GD-01,"{""label"":""ABSTAIN"",""reason_code"":""OCCLUSION"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""OCCLUSION"",""confidence"":0.7}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-02,Done,Man turned away from cello.,Is the cello player clearly looking at the cello (eyes directed at it)?,Is the cello player clearly looking away from the cello?,turn his head and eyes down toward the cello while he plays it,./Images/IMG_0410.jpeg,./Images/IMG_0411.jpeg,outdoor,GD-02,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""ABSTAIN"",""reason_code"":""OCCLUSION"",""confidence"":0.7}"
GD-03,Done,"Friends walking, heads not facing camera.",Are they clearly looking towards a camera for a photo?,Are they clearly not looking towards a camera for a photo?,"have them stop and pose, all turning their heads and eyes toward the camera as if taking a picture",./Images/IMG_8024.jpeg,./Images/IMG_8023.jpeg,outdoor,GD-03,"{""label"":""ABSTAIN"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-04,Done,Sunglasses hide eyes.,Are his eyes and gaze direction clearly visible in this photo?,Is his gaze direction not visible in this photo (eyes hidden/obscured)?,remove sunglasses or add transparent ones so gaze direction is clear,./Images/IMG_0431.JPG,./Images/IMG_0432.JPG,indoor,GD-04,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
GD-05,Done,He is looking sideways.,Is he clearly looking at the snowman?,Is he clearly not looking at the snowman?,Flip would have him face the snowman directly.,./Images/IMG_0625.jpeg,./Images/IMG_0626.jpeg,outdoor,GD-05,"{""label"":""ABSTAIN"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.7}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.95}"
