id,Status,base_label,base_question,base_setup,category,flip_change,flip_label,hardness,indoor_outdoor,pic_base,pic_flip,gpt_output_base,gpt_output_flip,location,target,gpt_score
AV-01,Done,NOT_VISIBLE,Is the building number readable,far facade unaided,AUGMENTED_VISION_REQUIRED,zoom in,VISIBLE,other numbers nearby,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0618.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0619.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.88}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",distant building,building number,
AV-02,Done,NOT_VISIBLE,Is the serial number readable,normal view,AUGMENTED_VISION_REQUIRED,macro close up,VISIBLE,ornate patterns mimic letters,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0293.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0294.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",currency note,serial number,
GD-01,Done,NOT_VISIBLE,Are the couple looking at each other,couple sitting next to each other,GAZE_DIRECTION,couple look at each other,VISIBLE,"ambiguous gaze, partial head turn",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0394.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0399.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.91}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",wsp,couple,
GD-02,Done,NOT_VISIBLE,Is the man currently playing the cello,"man looking away, not playing cello",GAZE_DIRECTION,man hands on cello playing it,VISIBLE,subtle motion/pose cue,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0410.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0411.jpeg,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",wsp,cellist,
GD-03,Done,NOT_VISIBLE,Are the people posing for a picture,people just walking,GAZE_DIRECTION,they pose for a pic,VISIBLE,"motion blur, group angle variance",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8024.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8023.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,group,
GD-04,Done,NOT_VISIBLE,Can you see his gaze,subject wearing sunglasses; eyes not visible behind dark lenses,GAZE_DIRECTION,remove sunglasses or add transparent ones so gaze direction is clear,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0431.JPG',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0432.JPG',"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",lounge,his gaze,
GD-05,Done,NOT_VISIBLE,Is the snowman visible to him?,He is looking sideways while the snowman is in front of him.,GAZE_DIRECTION,Flip would have him face the snowman directly.,VISIBLE,medium,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0625.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0626.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}","{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}",store,snowman figure,
IC-01,Done,UNDETERMINABLE,Is the moisturising lotion visible,many beauty products,INSUFFICIENT_CONTEXT,place moisturiser in view,VISIBLE,non lotion products as decoys,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0271.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0270.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",travel gear pile,lotion,
IC-02,Done,UNDETERMINABLE,What is the value of this giftcard,card doesn’t show,INSUFFICIENT_CONTEXT,show corner with money value,VISIBLE,doesn’t show value,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0280.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0281.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",gift card,value,
IC-04,Done,UNDETERMINABLE_FROM_EVIDENCE,Is the dog looking at the owner,dog looking somewhere,INSUFFICIENT_CONTEXT,dog looks at the owner,VISIBLE,"ambiguous angle, owner off-frame",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8013.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8019.jpeg,"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",wsp,dog-owner pair,
LD-01,Done,NOT_VISIBLE,Are the spice labels readable,room is dark,LIGHTING_DISTANCE,turn on light,VISIBLE,specular highlights look like text,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0287.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0288.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.91}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",kitchen window,spice labels,
LD-02,Done,NOT_VISIBLE,Is the phone screen visible,"phone screen reflecting in the sun and far, hard to see through glare",LIGHTING_DISTANCE,move closer so less glare,VISIBLE,"bright reflections, low contrast",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0416.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0417.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,phone screen,
LD-03,Done,NOT_VISIBLE,What is the time,clock is reflecting glare,LIGHTING_DISTANCE,change angle to avoid glare,VISIBLE,glass reflection and small numerals,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0418.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0420.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",union square,clock,
LD-04,Done,NOT_VISIBLE,Is the street sign readable,distant and dim,LIGHTING_DISTANCE,move camera 5 to 8 m closer,VISIBLE,bright points mislead,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0296.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0297.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.93}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",night street,street sign,
LD-05,Done,NOT_VISIBLE,is the package text readable,package on the floor; label at distance ~6m; small print,LIGHTING_DISTANCE,move 2m closer to reduce distance,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0435.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0436.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",mailroom,shipping label,
LD-06,Done,UNDETERMINABLE_FROM_EVIDENCE,What number is on the crosswalk countdown,Far distance: number too small.,LIGHTING_DISTANCE,Zoom-in version clarifies the number.,VISIBLE,medium,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0638.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0639.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",street intersection,crosswalk number,
LD-07,Done,UNDETERMINABLE_FROM_EVIDENCE,What is the bus number?,Bus is far + side angle making number partially unreadable.,LIGHTING_DISTANCE,Bus is closer,UNDETERMINABLE_FROM_EVIDENCE,hard,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0650.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0644.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}",bus stop,bus number,
