id,Status,base_label,base_question,base_setup,category,flip_change,flip_label,hardness,indoor_outdoor,pic_base,pic_flip,gpt_output_base,gpt_output_flip,location,target,gpt_score,gpt_base_json,gpt_flip_json
AV-01,Done,NOT_VISIBLE,Is the building number readable,far facade unaided,AUGMENTED_VISION_REQUIRED,zoom in,VISIBLE,other numbers nearby,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0618.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0619.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OUT_OF_FRAME"",""confidence"":0.88}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.99}",distant building,building number,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
AV-02,Done,NOT_VISIBLE,Is the serial number readable,normal view,AUGMENTED_VISION_REQUIRED,macro close up,VISIBLE,ornate patterns mimic letters,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0293.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0294.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""LIGHTING_DISTANCE"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",currency note,serial number,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
AV-03,Done,NOT_VISIBLE,Is the fine-print ingredients list readable?,food container; the lowest line of micro-text is too small to resolve,AUGMENTED_VISION_REQUIRED,move the camera closer until the text is large enough,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0682.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0683.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.99}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",kitchen,food container,,,
AV-07,Done,NOT_VISIBLE,Is the fine-print on the lotion bottle readable?,bathroom counter; bottle is across the room and the ingredient list is very small,AUGMENTED_VISION_REQUIRED,bring the camera close or zoom in so the micro-text becomes legible,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0684.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0685.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""AUGMENTED_VISION_REQUIRED"",""confidence"":0.98}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",kitchen,lotion bottle,,,
GD-01,Done,NOT_VISIBLE,Are the couple looking at each other,couple sitting next to each other,GAZE_DIRECTION,couple look at each other,VISIBLE,"ambiguous gaze, partial head turn",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0394.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0399.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.91}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.93}",wsp,couple,,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.9}","{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.9}"
GD-02,Done,NOT_VISIBLE,Is the man currently playing the cello,"man looking away, not playing cello",GAZE_DIRECTION,man hands on cello playing it,VISIBLE,subtle motion/pose cue,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0410.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0411.jpeg,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.94}",wsp,cellist,,"{""label"":""UNDABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":1.0}","{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.9}"
GD-03,Done,NOT_VISIBLE,Are the people posing for a picture,people just walking,GAZE_DIRECTION,they pose for a pic,VISIBLE,"motion blur, group angle variance",outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8024.jpeg,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_8023.jpeg,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.92}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.97}",wsp,group,,"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.9}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.9}"
GD-04,Done,NOT_VISIBLE,Can you see his gaze,subject wearing sunglasses; eyes not visible behind dark lenses,GAZE_DIRECTION,remove sunglasses or add transparent ones so gaze direction is clear,VISIBLE,medium,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0431.JPG',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0432.JPG',"{""label"":""NOT_VISIBLE"",""reason_code"":""GAZE_DIRECTION"",""confidence"":0.97}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",lounge,his gaze,,"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":1.0}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}"
GD-05,Done,NOT_VISIBLE,Is the snowman visible to him?,He is looking sideways while the snowman is in front of him.,GAZE_DIRECTION,Flip would have him face the snowman directly.,VISIBLE,medium,outdoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0625.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0626.jpeg',"{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}","{""label"":""UNDETERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.98}",store,snowman figure,,"{""label"":""UNDÉTERMINABLE_FROM_EVIDENCE"",""reason_code"":""INSUFFICIENT_CONTEXT"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}"
IC-01,Done,UNDETERMINABLE,Is the moisturising lotion visible,many beauty products,INSUFFICIENT_CONTEXT,place moisturiser in view,VISIBLE,non lotion products as decoys,indoor,/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0271.jpeg',/Users/neiltripathi/Documents/Paper with Davis/Images/IMG_0270.jpeg',"{""label"":""NOT_VISIBLE"",""reason_code"":""OCCLUSION"",""confidence"":0.96}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.98}",travel gear pile,lotion,,"{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":0.95}","{""label"":""VISIBLE"",""reason_code"":""NONE"",""confidence"":1.0}"
